id,SMILES,bp_K,ValidMol,RDKit_InChIKey,MolWt,ExactMolWt,MolLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,RingCount,AromaticRingCount,AliphaticRingCount,HeterocycleCount,FractionCarbonSP3,HeavyAtomCount,HeteroatomCount,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge
1737,Nc(ccc1N)cc1C,546.75,True,OBCSAIDCZQSFQH-UHFFFAOYSA-N,122.171,122.08439831999999,1.1594200000000001,52.04,2,2,0,1,1,0,0,0.14285714285714285,9,2,48,0,0.034472990722091916,-0.3987188093256135
1738,Clc(ccc1C)cc1Cl,474.25,True,FUNUTBJJKQIVSY-UHFFFAOYSA-N,161.03099999999998,159.984655552,3.301820000000001,0.0,0,0,0,1,1,0,0,0.14285714285714285,9,2,48,0,0.04494848003900971,-0.08428856030006288
1739,Nc(ccc1C)cc1Cl,516.25,True,RQKFYFNZSHWXAW-UHFFFAOYSA-N,141.601,141.034526936,2.23062,26.02,1,1,0,1,1,0,0,0.14285714285714285,9,2,48,0,0.04551402833240209,-0.39868603185841733
1740,Nc(ccc1Cl)cc1Cl,545.25,True,SDYWXFYBZPNOFX-UHFFFAOYSA-N,162.019,160.97990452,2.5756000000000006,26.02,1,1,0,1,1,0,0,0.0,9,3,48,0,0.06122662950118546,-0.3986848928023869
1741,Oc(ccc1Cl)cc1Cl,526.25,True,WDNBURPWRNALGP-UHFFFAOYSA-N,163.003,161.963920108,2.699,20.23,1,1,0,1,1,0,0,0.0,9,3,48,0,0.11666881803557862,-0.5079095447599914
1742,Cc(ccc1C)cc1N,487.25,True,VOWZNBNDMFLQGM-UHFFFAOYSA-N,121.183,121.08914935199999,1.88564,26.02,1,1,0,1,1,0,0,0.25,9,1,48,0,0.03458729030395015,-0.3985061191350542
1743,Clc(ccc1C)cc1N,510.25,True,WRZOMWDJOLIVQP-UHFFFAOYSA-N,141.60099999999997,141.034526936,2.23062,26.02,1,1,0,1,1,0,0,0.14285714285714285,9,2,48,0,0.04261549915927788,-0.3984715328215205
1744,Nc(ccc1C)cc1N,565.25,True,VOZKAJLKRJDJLL-UHFFFAOYSA-N,122.171,122.08439831999999,1.1594200000000001,52.04,2,2,0,1,1,0,0,0.14285714285714285,9,2,48,0,0.036387420536472,-0.39866697848540367
1745,Clc(ccc1Cl)cc1N,524.25,True,AVYGCQXNNJPXSS-UHFFFAOYSA-N,162.019,160.97990452,2.5756000000000006,26.02,1,1,0,1,1,0,0,0.0,9,3,48,0,0.06359778646063989,-0.397480210300114
1746,Cc(ccc1C)cc1O,484.75,True,NKTOLZVEWDHZMU-UHFFFAOYSA-N,122.16699999999999,122.07316494,2.00904,20.23,1,1,0,1,1,0,0,0.25,9,1,48,0,0.1182444355027599,-0.5076768525776328
